States,Abbreviation,Legal?,Online?,Register In Person?,In the Process of Sports Betting 2021?
ALABAMA,AL,No,No,,
ALASKA,AK,No,No,,
ARIZONA,AZ,No,No,,Yes
ARKANSAS,AR,Yes,No,,
CALIFORNIA,CA,No,No,,
COLORADO,CO,Yes,Yes,No,
CONNETICUT,CT,No,No,,
DISTRICT OF COLUMBIA,DC,Yes,Yes,No,
DELAWARE,DE,Yes,No,,
FLORIDA,FL,No,No,,Yes
GEORGIA,GA,No,No,,
HAWAII,HI,No,No,,
IDAHO,ID,No,No,,
ILLINOIS,IL,Yes,Yes,Yes,
INDIANA,IN,Yes,Yes,No,
IOWA,IA,Yes,Yes,No,
KANSAS,KS,No,No,,
KENTUCKY,KY,No,No,,
LOUISIANA,LA,No,No,,Yes
MAINE,ME,No,No,,
MARYLAND,MD,No,No,,Yes
MASSACHUSETTS,MA,No,No,,
MICHIGAN,MI,Yes,Yes,No,
MINNESOTA,MN,No,No,,
MISSISSIPPI,MS,Yes,No,,
MISSOURI,MO,No,No,,
MONTANA,MT,Yes,Yes,No,
NEBRASKA,NE,No,No,,
NEVADA,NV,Yes,Yes,Yes,
NEW HAMPSHIRE,NH,Yes,Yes,No,
NEW JERSEY,NJ,Yes,Yes,No,
NEW MEXICO,NM,Yes,No,,
NEW YORK,NY,Yes,No,,
NORTH CAROLINA,NC,Yes,No,,
NORTH DAKOTA,ND,No,No,,
OHIO,OH,No,No,,
OKALAHOMA,OK,No,No,,
OREGON,OR,Yes,Yes,No,
PENNSYLVANIA,PA,Yes,Yes,No,
RHODE ISLAND,RI,Yes,Yes,No,
SOUTH CAROLINA,SC,No,No,,
SOUTH DAKOTA,SD,No,No,,Yes
TENNESSEE,TN,Yes,Yes,No,
TEXAS,TX,No,No,,
UTAH,UT,No,No,,
VERMONT,VT,No,No,,
VIRGINIA,VA,Yes,Yes,No,
WASHINGTON,WA,No,No,,Yes
WEST VIRGINA,WV,Yes,Yes,No,
WISCONSIN,WI,No,No,,
WYOMING,WY,No,No,,Yes